slug,name,website_url,stage,category,tagline,description,best_for,pricing_model,price_note,setup_effort,integrations,featured,source_urls,verified_at,verified_by,status,notes
clay,Clay,https://clay.com,2,Lead data,Combine many data sources into one enriched list,Pulls contact and company data from many providers and lets you add AI research steps to each row.,Outbound teams building custom prospect lists,free_plan,,3,HubSpot;Salesforce;Slack;Zapier,true,,,,draft,SAMPLE DATA from the prototype. Verify every field.
apollo,Apollo,https://apollo.io,2,Lead data,Contact database with built-in sequencing,Searches a large B2B contact database and lets you email and call prospects from the same tool.,Small sales teams that want data and outreach together,free_plan,,1,HubSpot;Salesforce;Slack;Zapier;Google Workspace,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
zoominfo,ZoomInfo,https://zoominfo.com,2,Lead data,Enterprise B2B data and buying signals,"Company and contact data with signals about who is likely to buy, aimed at larger sales organizations.",Enterprise sales teams with large territories,custom_quote,,2,HubSpot;Salesforce;Slack,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
lusha,Lusha,https://lusha.com,2,Lead data,Contact details in a browser extension,Finds emails and phone numbers while you browse LinkedIn and company sites.,Reps who prospect manually on LinkedIn,free_plan,,1,HubSpot;Salesforce;Slack;Zapier,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
cognism,Cognism,https://cognism.com,2,Lead data,B2B contact data with a European focus,Provides phone-verified contacts with an emphasis on compliance for European markets.,Teams selling into Europe,custom_quote,,2,HubSpot;Salesforce;Slack,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
seamless-ai,Seamless.AI,https://seamless.ai,2,Lead data,Real-time contact search for prospecting,Searches for contact details on demand and exports them to your CRM.,Reps who build lists on the fly,free_plan,,1,HubSpot;Salesforce;Zapier,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
6sense,6sense,https://6sense.com,2,Intent signals,Account-level buying intent and predictions,Tracks anonymous research activity to show which accounts are in a buying cycle.,Account-based marketing teams,custom_quote,,3,HubSpot;Salesforce;Slack,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
instantly,Instantly,https://instantly.ai,3,Email outreach,High-volume cold email with inbox rotation,Sends campaigns across many mailboxes with warm-up and reply tracking.,Outbound teams sending at volume,paid,,2,HubSpot;Zapier,true,,,,draft,SAMPLE DATA from the prototype. Verify every field.
smartlead,Smartlead,https://smartlead.ai,3,Email outreach,Cold email infrastructure for agencies,"Manages many sending accounts and clients, with warm-up and a unified reply inbox.",Agencies running outreach for several clients,paid,,2,HubSpot;Zapier,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
lemlist,lemlist,https://lemlist.com,3,Email outreach,Multichannel outreach with personalization,"Combines email, LinkedIn steps, and personalized images and video in one sequence builder.",Teams that mix email and LinkedIn touches,paid,,1,HubSpot;Salesforce;Slack;Zapier,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
outreach,Outreach,https://outreach.io,3,Email outreach,Sales engagement platform for larger teams,"Runs sequences, tracks deals, and uses AI to draft messages and flag deal risk.",Mid-market and enterprise sales teams,custom_quote,,3,Salesforce;HubSpot;Slack;Google Workspace,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
salesloft,Salesloft,https://salesloft.com,3,Email outreach,Sales engagement and pipeline workflow,"Coordinates calls, emails, and tasks for reps, with AI assistance for messaging and prioritization.",Sales teams standardizing their outreach process,custom_quote,,3,Salesforce;HubSpot;Slack;Google Workspace,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
11x,11x,https://11x.ai,3,AI SDR agents,Digital workers that prospect and follow up,"Agents that find leads, write outreach, and book meetings with little human input.",Teams testing autonomous outbound,custom_quote,,2,HubSpot;Salesforce,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
artisan,Artisan,https://artisan.co,3,AI SDR agents,An AI outbound agent named Ava,Automates lead research and outreach sequences from a single agent.,Startups without a dedicated SDR team,custom_quote,,2,HubSpot;Salesforce,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
regie-ai,Regie.ai,https://regie.ai,3,AI SDR agents,AI-drafted outreach with human review,Generates sequences and prospecting messages that reps can edit before sending.,Teams that want AI drafts but human control,custom_quote,,2,HubSpot;Salesforce,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
intercom,Intercom,https://intercom.com,3,Chat and conversion,Support and sales chat with an AI agent,Its AI agent answers customer questions and hands off to your team when needed.,Product-led companies with a lot of inbound chat,paid,,2,HubSpot;Salesforce;Slack;Zapier,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
qualified,Qualified,https://qualified.com,3,Chat and conversion,Website chat that routes high-intent visitors to reps,Identifies valuable visitors and starts conversations or books meetings in real time.,B2B sites with a lot of high-value traffic,custom_quote,,3,Salesforce;HubSpot;Slack,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
gong,Gong,https://gong.io,4,Call intelligence,Records sales calls and shows what wins deals,Transcribes and analyzes calls and emails to surface deal risks and coaching moments.,Sales managers who coach from real conversations,custom_quote,,2,Salesforce;HubSpot;Slack;Google Workspace,true,,,,draft,SAMPLE DATA from the prototype. Verify every field.
fireflies,Fireflies,https://fireflies.ai,4,Meeting notes,Meeting recorder with searchable transcripts,"Joins calls, writes summaries, and pushes notes to your CRM.",Teams that want notes in the CRM without typing,free_plan,,1,HubSpot;Salesforce;Slack;Zapier;Google Workspace,true,,,,draft,SAMPLE DATA from the prototype. Verify every field.
fathom,Fathom,https://fathom.video,4,Meeting notes,Free AI note taker for video calls,Records and summarizes calls and highlights key moments.,Individual reps and small teams,free_plan,,1,HubSpot;Salesforce;Slack;Zapier;Google Workspace,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
otter,Otter,https://otter.ai,4,Meeting notes,Live transcription and meeting summaries,Transcribes conversations in real time and generates summaries and action items.,Anyone who takes many calls and meetings,free_plan,,1,Slack;Zapier;Google Workspace,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
hubspot,HubSpot,https://hubspot.com,4,CRM,CRM with AI assistants across marketing and sales,"Connects contacts, email, and deals, with AI tools for writing and reporting.",Growing teams that want marketing and sales in one system,free_plan,,2,Slack;Zapier;Google Workspace;Salesforce,true,,,,draft,SAMPLE DATA from the prototype. Verify every field.
salesforce,Salesforce,https://salesforce.com,4,CRM,Enterprise CRM with AI agents,"A configurable CRM platform with AI features for forecasting, service, and outreach.",Large organizations with complex processes,paid,,3,Slack;Google Workspace;Zapier,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
pipedrive,Pipedrive,https://pipedrive.com,4,CRM,Pipeline-focused CRM for small teams,A visual deal pipeline with AI suggestions for next steps and email drafts.,Small sales teams that like a simple pipeline view,paid,,1,Slack;Zapier;Google Workspace,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
klaviyo,Klaviyo,https://klaviyo.com,5,Email and lifecycle,Email and SMS driven by customer behavior,Sends messages based on purchase and browsing data with AI-assisted segmentation.,E-commerce brands,free_plan,,2,Zapier,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
mailchimp,Mailchimp,https://mailchimp.com,5,Email and lifecycle,Email marketing with AI content tools,Builds campaigns and automations with help for subject lines and copy.,Small businesses starting with email,free_plan,,1,Zapier,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
activecampaign,ActiveCampaign,https://activecampaign.com,5,Email and lifecycle,Automation for email and CRM workflows,Triggers messages from customer actions and scores contacts by engagement.,Teams that automate nurture flows,paid,,2,Salesforce;Slack;Zapier,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
persado,Persado,https://persado.com,5,Email and lifecycle,AI-optimized marketing language for enterprises,Generates and tests message variants to learn which wording drives response.,Large brands optimizing message performance,custom_quote,,3,,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
clari,Clari,https://clari.com,5,Revenue forecasting,Forecasting and pipeline inspection,Rolls up CRM and activity data into forecast calls and deal reviews.,Revenue leaders who run weekly forecast reviews,custom_quote,,3,Salesforce;HubSpot;Slack,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
people-ai,People.ai,https://people.ai,5,Revenue forecasting,Captures sales activity automatically,Logs emails and meetings to your CRM and highlights deals that are stalling.,Teams with incomplete CRM data,custom_quote,,3,Salesforce;Slack,false,,,,draft,SAMPLE DATA from the prototype. Verify every field.
